product_name,sku,brand
BLUE RIBBON P/BOIL RICE 12X2LB,BR-001,Blue Ribbon
LASCO CHOC PWDR 500G,LC-042,Lasco
GRACE COCK SOUP MIX 10X50G,GR-002,Grace
EXCELSIOR W/GRN CRACKERS 300G,EX-005,Excelsior
NATIONAL WHOLE WHEAT BREAD,NAT-001,National
MAGGI CND COCO MILK 400ML,MAG-001,Maggi
MILO INST CHOC DRNK 400G,MILO-001,Nestle
HORLICKS MALT DRNK 500G,HOR-001,Horlicks
PEPSI 2L BTL,PEP-001,Pepsi
BIGGA FRUIT PUNCH 600ML,BIG-001,Bigga
D&G GINGER BEER 355ML,DG-001,D&G
JABLUM COFFEE BX 8OZ,JAB-001,Jablum
STARBUCKS FRAPPUCCINO 281ML,SBC-001,Starbucks
ANCHOR MILK PWDR 1KG,ANC-001,Anchor
NESTLE CND SWEET MILK 395G,NES-001,Nestle
